Phrowenia
Amicia
Gawain
Galien
Gaillard
Finnian
Ferand
Faramond
Evrouin
Everard
Drogo
Doran
Bertram
Berinon
Aymon
Ansel
Althalos
Alphonse
Aldous
Adelard
Tybalt
Sadon
Borin
Carac
Asher
Gorvenal
Ranulf
Umfrey
Ymbert
Helyas
Amalric
Aleida
Oriel
Ryia
Heloise
Damiana
Isolde
Trea
Linota
Sigourney
Clement
Ida
Herleva
Celestina
Elysande
Thora
Rhoslyn
Gwenllian
Sigrid
Lavinia
Aquila
Katelyn
Ismay
Alianor
Theophania
Geva
Ayleth
Estrilda
Emeline
Alba
Maerwynn
Elspeth
Duraina
Malkyn
Helewis
Anastas
Petronilla
Ellyn
Richolda
Godiva
Enndolynn
Gussalen
Zemislav
Wymar
Wolfgang
Warin
Theobald
Teague
Tancred
Rolund
Rogue
Reynard
Radax
Percival
Odo
Maurin
Lucan
Lief
Justus
Joachim
Ives
Ingram
Odilia
Sabelina
Reina
Krea
Sybil
Rohesia
